IP 地址           已发送  已接收  丢包率  平均延迟  下载速度 (MB/s)、
104.17.235.110    4       4       0.00    233.05    21.80
104.18.1.205      4       4       0.00    215.55    16.76
104.19.162.31     4       4       0.00    215.37    12.75
104.19.170.123    4       4       0.00    221.80    12.32
104.18.7.237      4       4       0.00    222.53    61.20
141.101.122.198   4       4       0.00    217.44    56.83
104.18.245.44     4       4       0.00    220.61    51.85
162.159.249.21    4       4       0.00    221.17    51.01
162.159.135.132   4       4       0.00    126.31    48.03
104.18.182.104    4       4       0.00    211.39    36.63
173.245.49.113    4       4       0.00    224.89    35.95
104.18.181.62     4       4       0.00    213.49    34.29
162.159.42.12     4       4       0.00    225.50    28.28
172.67.172.4      4       4       0.00    225.00    27.95
104.17.237.206    4       4       0.00    215.45    8.02
